plat_id,ingredient_id,quantite,unite
1,1,2,livres
1,2,3,cuillères à soupe
1,3,6,cuillères à soupe
1,4,2,tasses
1,5,,sel
1,6,1.5,tasses
2,7,1,tasse
2,8,2,cuillères à soupe
2,9,2,cuillères à soupe
2,10,4,cuillères à café
2,11,2,cuillères à café
2,12,1,cuillère à café
2,13,0.5,cuillère à café
2,14,1,pincer
2,15,2,tasses
2,16,1,
3,17,1,cuillerée à soupe
3,14,1,cuillère à café
3,18,1,cuillère à café
3,19,1,cuillère à café
3,20,0.5,cuillère à café
3,21,0.5,cuillère à café
3,22,0.5,cuillère à café
3,23,0.125,cuillère à café
3,24,2,
3,25,0.25,tasse
3,26,2,cuillères à soupe
3,27,2,cuillères à soupe
4,28,1,tasse
4,29,0.5,tasse
4,30,1,cuillère à café
4,3,2,tasses
4,31,0.33333298563957,tasse
4,32,1,cuillerée à soupe
4,33,1.5,cuillères à café
4,14,0.5,cuillère à café
4,23,0.25,cuillère à café
4,34,6,cuillères à soupe
5,35,2,cuillères à soupe
5,36,2,cuillères à soupe
5,37,2,cuillères à soupe
5,38,2,cuillères à soupe
5,39,1,cuillerée à soupe
5,14,1,cuillerée à soupe
5,40,1,entier
5,41,1,moyen
5,42,1,moyen
5,43,1,moyen
5,44,2,tiges
5,45,1,
5,46,1,
6,47,3,
6,48,1,tasse
6,49,0.5,tasse
6,50,1,cuillerée à soupe
6,51,1,cuillère à café
6,14,1,cuillère à café
6,52,0.5,tasse
7,31,3,tasses
7,53,2,cuillères à soupe
7,14,2,pincements
7,3,2,tasses
7,32,2,cuillères à café
7,52,1,tasse
7,4,1,tasse
7,54,2,livres
7,55,2,tasses
8,56,2,sucre
8,57,4,
8,58,1,tasse
8,59,1,tasse
8,60,2,tasses
8,3,2,cuillères à soupe
8,61,2,cuillères à soupe
8,14,1,cuillère à café
8,62,2,non cuit
9,63,4,porc
9,64,,sel
9,52,1,cuillerée à soupe
9,4,0.75,tasse
9,15,0.25,tasse
9,65,1,
10,31,0.5,tasse
10,12,1,cuillère à café
10,66,1,
10,34,0.25,tasse
11,3,1.25,tasses
11,31,1,tasse
11,52,0.33333334326744,tasse
11,67,0.75,tasse
11,57,2,
11,68,0.25,tasse
11,33,2,cuillères à café
11,69,1,tasse
12,3,1.75,tasses
12,32,1.5,cuillères à café
12,31,1,tasse
12,34,0.5,tasse
12,57,2,grand
12,70,0.5,tasse
12,30,1,cuillère à café
12,71,1,tasse
12,31,0.25,tasse
12,3,2.5,cuillères à soupe
12,34,2,cuillères à soupe
13,72,10.5,onces
13,31,1,tasse
13,73,1,tasse
13,74,1,tasse
13,75,11,bars
14,76,12,moyen
14,77,12,cuillères à soupe
14,78,1.5,livres
14,79,12,tranches
14,80,,kascher
14,81,0.5,
15,82,3,tasses
15,83,3,tasses
15,84,1,cuillerée à soupe
16,85,2,cuillères à soupe
16,42,1,petit
16,86,1,tête
16,46,3,tasses
16,58,1,tasse
16,87,6,onces
16,88,0.25,tasse
16,89,1,cuillère à café
16,5,,sel
17,90,7,livres
17,91,4,tasses
17,92,2,
17,44,3,tiges
17,14,2,cuillères à café
17,93,1,grand
17,4,0.25,tasse
17,3,1.5,tasses
17,32,1.5,cuillères à café
17,14,1,cuillère à café
17,34,2,cuillères à soupe
17,35,1,cuillerée à soupe
17,15,1,tasse
17,22,0.5,cuillère à café
17,35,1,cuillerée à soupe
18,52,8,cuillères à soupe
18,47,4,
18,64,,sel
18,94,6,onces
18,95,0.75,tasse
18,96,1,
18,65,1,
18,97,0.75,tasse
18,36,0.5,cuillère à café
18,51,0.25,cuillère à café
18,98,1,
19,99,1,cuillerée à soupe
19,42,1,tasse
19,100,2,clous de girofle
19,43,0.5,tasse
19,44,0.25,tasse
19,101,2,
19,102,3.5,tasses
19,103,1,cuillerée à soupe
19,14,1,cuillère à café
19,51,0.5,cuillère à café
19,22,0.5,cuillère à café
19,104,4,gouttes
20,47,4,
20,105,0.75,tasse
20,106,0.25,tasse
20,107,0.25,tasse
20,108,0.25,tasse
20,109,0.125,tasse
20,100,3,clous de girofle
20,110,2,cuillères à soupe
20,111,1,cuillère à café
20,17,1,tiret
20,112,1,tiret
20,113,1,tiret
21,114,1.5,tasses
21,115,0.25,tasse
21,116,0.25,tasse
21,12,0.5,cuillère à café
21,117,0.125,cuillère à café
21,34,5,cuillères à soupe
21,77,3,
21,118,2,tasses
21,57,3,grand
21,59,3,cuillères à soupe
21,3,2,cuillères à soupe
21,30,1,cuillère à café
21,12,0.25,cuillère à café
21,117,0.125,cuillère à café
21,118,0.5,tasse
21,15,1,cuillerée à soupe
21,34,4,cuillères à soupe
21,97,0.5,tasse
21,119,1,cuillerée à soupe
21,12,0.5,cuillère à café
21,30,0.5,cuillère à café
21,120,1.75,tasses
22,121,4,
22,122,0.5,tasse
22,10,2,cuillères à soupe
22,12,0.5,cuillère à café
22,23,0.125,cuillère à café
22,123,0.125,cuillère à café
22,124,0.125,cuillère à café
22,125,0.25,tasse
23,126,1.3333333730698,livres
23,127,0.5,tasse
23,128,1,
23,129,2,cuillères à soupe
23,93,1,
23,100,1,cuillère à café
23,117,1,pincer
23,22,1,pincer
23,130,6,tranches
23,131,6,hamburger
24,132,1,réfrigéré
24,31,0.75,tasse
24,3,0.33333334326744,tasse
24,68,1,cuillerée à soupe
24,33,2,cuillères à café
24,71,5,tasses
24,133,0.75,tasse
24,10,0.66666668653488,tasse
24,3,0.5,tasse
24,12,0.5,cuillère à café
24,34,6,cuillères à soupe
25,134,1,cuillerée à soupe
25,135,2,livres
25,136,5,grand
25,137,1,grand
25,44,2,tiges
25,15,6,tasses
25,138,3,grand
25,139,1,livre
25,140,2,cuillères à soupe
25,14,2,cuillères à soupe
25,19,2,cuillères à soupe
25,18,1,cuillerée à soupe
25,141,1,cuillerée à soupe
25,142,2,baie
25,143,,sol
26,144,,cuisson
26,145,12,jalapeño
26,77,2,onces
26,6,2,onces
26,146,0.25,tasse
27,147,4,doux
27,31,1.3333333730698,tasses
27,4,0.75,tasse
27,57,3,
27,14,0.75,cuillère à café
27,30,1,cuillère à café
27,12,1,cuillère à café
27,10,1.5,tasses
27,148,1.5,tasses
27,3,0.75,tasse
27,2,0.5,tasse
28,144,,cuisson
28,148,0.5,tasse
28,36,1,cuillère à café
28,14,1,cuillère à café
28,149,,noir
28,150,,polyvalent
28,151,4,filets
28,93,1,
29,6,1.5,tasses
29,49,0.33333334326744,tasse
29,100,2,clous de girofle
29,111,0.5,cuillère à café
29,50,0.5,cuillère à café
29,64,,sel
29,152,2,moyen
29,101,5,prune
29,52,0.25,tasse
29,42,2,cuillères à soupe
29,153,0.75,tasse
30,14,1,tasse
30,42,1,moyen
30,41,1,moyen
30,154,1,moyen
30,100,3,clous de girofle
30,155,4,grand
30,51,1,cuillerée à soupe
30,22,1,cuillerée à soupe
30,15,1.5,gallons
31,134,5,cuillères à soupe
31,109,2,cuillères à soupe
31,156,14,onces
31,42,1,jaune
31,44,3,côtes
31,136,2,
31,147,2,
31,100,3,clous de girofle
31,157,2,
31,10,2,cuillères à soupe
31,3,2,cuillères à soupe
31,51,1,cuillerée à soupe
31,5,,sel
32,40,1,livre
32,100,2,clous de girofle
32,143,,fraîchement
32,158,2,cuillères à café
32,159,2,cuillères à soupe
32,160,2,cuillères à soupe
32,161,1,
32,162,1,
32,163,1,
32,6,2,tasses
32,164,1,
32,165,1,mûr
32,166,1,bouquet
33,167,2,livres
33,18,0.5,cuillère à café
33,17,0.5,cuillère à café
33,19,0.5,cuillère à café
33,22,0.5,cuillère à café
33,14,0.5,cuillère à café
33,112,0.25,cuillère à café
33,52,1,cuillerée à soupe
33,154,1,
34,168,0.75,tasse
34,133,0.75,tasse
34,169,0.75,tasse
34,12,0.5,cuillère à café
34,14,1,pincer
34,99,0.25,tasse
34,170,3,cuillères à soupe
34,171,1,tasse
34,172,0.25,tasse
34,173,1,
34,170,0.5,tasse
34,174,1,cuillerée à soupe
34,12,1.5,cuillères à café
34,14,0.5,cuillère à café
34,23,0.25,cuillère à café
34,175,0.125,cuillère à café
35,176,12,non cuit
35,177,0.75,tasse
35,178,0.5,tasse
35,10,0.5,tasse
35,179,0.25,tasse
35,52,3,cuillères à soupe
35,93,1,
35,30,1,cuillerée à soupe
35,14,0.125,cuillère à café
36,180,1,
36,15,1,tasse
36,181,1,
36,182,1,tasse
37,183,3,tranches
37,184,1,tasse
37,6,1,tasse
38,185,1,
38,186,1,cuillère à café
38,31,1,tasse
38,52,0.33333334326744,tasse
38,93,1,
38,12,1,cuillère à café
38,175,0.5,cuillère à café
38,14,0.5,cuillère à café
38,187,1.5,tasses
38,177,1,tasse
39,134,3,cuillères à soupe
39,188,1,
39,189,1,cuillère à café
39,22,0.25,cuillère à café
39,190,2.5,livres
39,191,1,livre
39,42,0.5,doux
39,117,0.5,cuillère à café
40,144,,cuisson
40,129,0.25,tasse
40,10,0.33333334326744,tasse
40,192,0.33333334326744,tasse
40,193,3,livres
40,134,3,cuillères à soupe
40,42,1,doux
40,100,2,clous de girofle
40,46,1.3333330154419,tasses
40,26,1,tasse
40,194,3,livres
40,22,0.25,cuillère à café
40,36,0.25,cuillère à café
40,51,0.25,cuillère à café
40,195,,sel
41,196,2,tasses
41,31,2,tasses
41,13,0.75,tasse
41,32,1,cuillère à café
41,14,1,cuillère à café
41,15,1,tasse
41,99,1,tasse
41,30,1,cuillère à café
42,197,,antiadhésif
42,49,0.5,tasse
42,198,0.25,tasse
42,47,2,
42,134,1,cuillerée à soupe
42,128,1,petit
42,199,4,portobello
42,35,1,cuillerée à soupe
42,22,0.25,cuillère à café
42,200,4,mince
43,201,2,tasses
43,31,2,cuillères à soupe
43,52,0.5,tasse
43,202,20,onces
43,31,1,tasse
43,57,3,
43,30,1,cuillerée à soupe
43,203,1,
43,31,0.33333334326744,tasse
44,204,4,grand
44,205,0.33333334326744,tasse
44,19,1,cuillère à café
44,206,1,cuillère à café
44,158,0.75,cuillère à café
44,207,,mer
44,208,4,moyen
44,209,1,récipient
44,210,0.25,tasse
44,211,2,cuillères à soupe
44,212,2,cuillères à soupe
45,213,1,entier
45,14,1,pincer
45,214,,eau
45,154,1,
45,44,2,tiges
45,42,1,petit
45,136,2,
45,3,2,tasses
45,5,,sel
46,134,3,cuillères à soupe
46,94,12,grand
46,5,,sel
46,42,1,
46,215,0.5,livre
46,216,1,jalapeño
46,217,12,onces
46,218,3,tasses
46,219,6,onces
46,57,2,
46,97,0.5,tasse
46,112,0.5,cuillère à café
46,220,1,pâtisserie
46,15,1,cuillère à café
47,77,4,onces
47,221,0.5,tasse
47,64,,sel
47,52,3,cuillères à soupe
47,57,8,grand
48,222,2.5,livres
48,223,2,cuillères à soupe
48,224,2,tasses
48,225,0.5,frais
48,137,1,grand
48,106,1,tasse
48,10,1,tasse
48,226,1,tasse
48,227,0.5,tasse
48,145,3,serrano
48,100,2,cuillères à soupe
48,228,1,cuillère à café
48,14,1,cuillère à café
48,229,1,tasse
49,3,2.25,tasses
49,186,1,cuillère à café
49,14,0.5,cuillère à café
49,34,1,tasse
49,116,0.75,tasse
49,10,0.75,tasse
49,57,2,grand
49,30,2,cuillères à café
49,230,2,tasses
49,231,1,tasse
50,232,2,filet
50,117,2,cuillères à café
50,22,1,cuillère à café
50,134,2,cuillères à soupe
50,233,2,cuillères à soupe
50,52,2,cuillères à soupe
50,234,18,
50,235,0.25,tasse
50,236,1,cuillère à café
50,97,0.5,tasse
50,237,,fraîchement
50,238,2,cuillères à café
51,239,1,profond
51,240,5,tasses
51,31,0.5,tasse
51,12,0.75,cuillère à café
51,31,0.33333334326744,tasse
51,3,0.75,tasse
51,52,6,cuillères à soupe
52,63,6,porc
52,20,1,cuillerée à soupe
52,65,1,
52,15,0.75,tasse
52,14,1,cuillère à café
52,22,0.5,cuillère à café
52,42,1,
53,180,1.5,tasses
53,241,1.5,tasses
53,242,1.5,tasses
53,243,1,livre
53,244,1,livre
53,42,1,grand
53,216,1,cloche
53,245,2,clous de girofle
53,246,1,tasse
53,15,1,tasse
53,247,0.75,tasse
53,248,0.75,tasse
53,249,2,cuillères à soupe
53,5,,sel
54,250,6,Yukon
54,251,2,tasses
54,29,0.5,tasse
54,52,2,cuillères à soupe
54,5,,sel
55,54,4,tasses
55,31,1.5,tasses
55,53,2,cuillères à soupe
55,15,2,tasses
55,3,2,tasses
55,31,0.66666668653488,tasse
55,32,1,cuillère à café
55,14,1,cuillère à café
55,2,1,tasse
55,4,0.66666668653488,tasse
56,47,6,
56,4,2,tasses
56,252,2,tasses
56,96,2,
56,253,1,cuillère à café
57,3,2,tasses
57,32,2,cuillères à café
57,14,1,cuillère à café
57,31,1,tasse
57,52,0.33333334326744,tasse
57,4,1,tasse
57,54,2,tasses
57,55,2,tasses
58,254,1,tasse
58,255,1,scoop
58,71,0.5,tasse
58,256,2,cuillères à soupe
58,177,2,cuillères à soupe
58,257,0.25,tasse
59,258,1,tasse
59,259,0.5,tasse
59,68,9,cuillères à soupe
59,236,6,cuillères à soupe
59,104,10,gouttes
59,14,2,cuillères à café
59,22,0.5,cuillère à café
59,47,6,
60,260,1,restes
60,42,1,grand
60,261,1,cuillerée à soupe
60,142,2,baie
60,52,1,cuillerée à soupe
60,136,28,bébé
60,44,3,tiges
60,262,2,
60,263,1,tasse
60,264,10,vert
60,265,2,cubes
60,20,1,cuillerée à soupe
60,51,1,cuillère à café
60,36,2,brins
60,174,0.5,cuillère à café
60,112,0.5,cuillère à café
60,5,,sel
60,266,1,
61,57,15,géant
61,267,0.75,tasse
61,42,0.33333334326744,tasse
61,268,3,cuillères à soupe
61,269,3,cuillères à soupe
61,270,2,cuillères à café
61,271,2,cuillères à café
61,272,1,pincer
61,17,1,cuillère à café
62,3,3,tasses
62,14,0.5,cuillère à café
62,186,0.25,cuillère à café
62,31,3,tasses
62,34,2,tasses
62,57,6,grand
62,30,1,cuillère à café
62,273,1,pincer
62,59,1,tasse
62,69,1,cuillerée à soupe
63,3,1,tasse
63,52,0.5,tasse
63,31,2,cuillères à soupe
63,274,2.5,tasses
63,31,1.25,tasses
63,4,0.33333334326744,tasse
63,275,3,œuf
63,3,2,cuillères à soupe
64,276,3,tranches
64,42,1,tasse
64,100,3,clous de girofle
64,277,3,
64,278,0.75,tasse
64,15,0.5,tasse
64,229,0.33,tasse
64,279,2,
64,123,0.5,cuillère à café
64,35,1,cuillerée à soupe
64,280,1,cuillerée à soupe
65,281,1,grand
65,282,0.5,tasse
65,10,0.5,tasse
65,109,0.25,tasse
65,52,0.25,tasse
65,283,2,cuillères à café
65,100,1.5,cuillères à café
65,284,5,livres
66,285,3,tasses
66,286,1,tasse
66,287,0.5,tasse
66,30,1,cuillerée à soupe
66,31,2,tasses
66,4,0.5,tasse
66,52,0.5,tasse
66,13,3,cuillères à soupe
66,144,,cuisson
67,57,2,grand
67,68,3,cuillères à soupe
67,19,1,cuillère à café
67,3,0.5,tasse
67,49,0.5,tasse
67,288,2,cuillères à soupe
67,14,1,cuillère à café
67,47,1,livre
67,197,,antiadhésif
67,52,2,cuillères à soupe
67,46,0.5,tasse
67,289,2,cuillères à soupe
68,290,1,pâtisserie
68,291,3,tasses
68,71,1,tasse
68,68,2,cuillères à soupe
68,31,1,tasse
68,292,2,cuillères à soupe
68,14,0.5,cuillère à café
68,52,2,cuillères à soupe
68,293,1,œuf
69,3,2,tasses
69,32,2,cuillères à café
69,12,2,cuillères à café
